Região;Local;Longitude;Latitude;Referência;;;;;;;;;
Asia;     nishi-oshima;134;34,3; Asada N. and Kaneko A. (1986); Drosophila Surveys in Okayama ... ;;;;;;;;
Asia;     omishima;131,12;34,25; Watada M. et al. (2000); Predominance of two colonizing ... ;;;;;;;;
Asia;     hiroshima;132,27;34,23; Ohnishi S. and Kawanishi M. (1981); The Sexcomb of Drosophila simu ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... ; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;;;
Asia;     takamatsu;134,01;34,2; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Asia;     xuzhou;117,18;34,17; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     zentsuji;133,45;34,14; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Asia;     yamaguchi;131,38;34,1; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Asia;     imabari;132,59;34,04; Watada M. et al. (2000); Predominance of two colonizing ... ;;;;;;;;
Asia;     tokushima;134,34;34,03; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Asia;     owase;136,12;34,03; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;;;;;;;
Africa;     rabat;-6,51;34,02; Capy P. et al. (1993); Phenotypic and genetic variabi ... ;;;;;;;;
Asia;     kawanoe;133,32;34,01; Watada M. et al. (2000); Predominance of two colonizing ... ;;;;;;;;
Asia;     tokuyama;131,4;34; Itoh M. et al. (2003); A further study on the expansi ... ;;;;;;;;
Asia;     saijyo;133,3;34; Watada M. et al. (2000); Predominance of two colonizing ... ; Watada M. et al. (2000); Predominance of two colonizing ... ;;;;;;
Asia;     oe;134;34; Itoh M. et al. (2003); A further study on the expansi ... ; Asada A. and Kaneko A. (1990); Drosophila Surveys in Okayama ... ;;;;;;
Asia;     shimonoseki;130,58;33,59; Ohnishi S. and Kawanishi M. (1981); The Sexcomb of Drosophila simu ... ; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;;;;;
Asia;     hojyo;132,47;33,58; Watada M. et al. (2000); Predominance of two colonizing ... ;;;;;;;;
Asia;     niihama;133,15;33,57; Watada M. et al. (1986); Expansion of Drosophila simula ... ; Watada M. et al. (2000); Predominance of two colonizing ... ;;;;;;
Asia;     kokura;130,52;33,54; Lee W.H. (1978); Temperature sensitive viabilit ... ; Ohnishi S. and Kawanishi M. (1981); The Sexcomb of Drosophila simu ... ; Watada M. et al. (1986); Genetic differenciation in Jap ... ; Watada M. et al. (1986); Genetic differentiation in Jap ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... 
Africa;     djerba;10,51;33,53; Biemont C. et al. (2003); Worldwide distribution of tran ... ; Schofl G. and Schlotterer C. (2006); Microsatellite variation and d ... ;;;;;;
Africa;     gabes;10,06;33,52; Jungen H. (1971); Inversionspolymorphismus in tu ... ;;;;;;;;
Asia;     kitakyushu;130,49;33,52; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;;;;;;;
Asia;     ehime;132,36;33,51; Hoshina H. and Watada M. (2001); Ecological Notes on Distributi ... ; Inoue Y. (1988); Chromosomal mutation in Drosop ... ;;;;;;
Asia;     bungomori;130,55;33,5; Watada M. et al. (1986); Genetic differenciation in Jap ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... ; Watada M. et al. (1986); Genetic differenciation in Jap ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;
Asia;     kuma;132,4;33,5; Watada M. et al. (2000); Predominance of two colonizing ... ; Watada M. et al. (2000); Predominance of two colonizing ... ;;;;;;
Asia;     matsuyama;132,47;33,5; Watada M. et al. (1986); Genetic differenciation in Jap ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... ; Watada M. et al. (2000); Predominance of two colonizing ... ; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;
Asia;     iyo;132,42;33,43; Watada M. et al. (2000); Predominance of two colonizing ... ;;;;;;;;
Asia;     iyomishima;133,3;33,43; Watada M. et al. (2000); Predominance of two colonizing ... ;;;;;;;;
Asia;     shingu;136;33,42; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Asia;     seto;134,2;33,4; Asada N. et al. (1987); Notes on Drosophilid Flies Col ... ;;;;;;;;
Africa;     casablanca;-7,35;33,39; Capy P. et al. (1993); Phenotypic and genetic variabi ... ;;;;;;;;
