Região;Local;Longitude;Latitude;Referências;;;;;;;;;
América do Sul;    serrana/sp;-47.35;-21.13 ;Mateus R.P. et al. (2006), The Drosophila community in xe ... ;;;;;;;;;
América do Sul;    jaboticabal;-48.17;-21.15 ;Pires D.J. and Belo M. (2005), Flies collected in orchards. ... ;;;;;;;;;
América do Sul;    sao paulo estado;-48.00;-22.00 ;Tidon-Sklorz R. and Sene F.M. (1999), Drosophila. In: Brandao, C.R.F ... ;;;;;;;;;
América do Sul;    monte alto;-47.00;-22.00;Pires D.J. and Belo M. (2005), Flies collected in orchards. ... ;;;;;;;;;
América do Sul;    sao carlos/sp;-45.53;-22.03 ;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    bela vista/ms;-56.32;-22.05;Chaves N.B. and Tidon R. (2008), Biogeographical aspects of dro ... ;;;;;;;;;
América do Sul;    bela vista/ms;-56.32;-22.05 ;Sene F.M. et al. (1980), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    bela vista/ms;-56.32;-22.05;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    bela vista/ms;-56.32;-22.05;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    caracol/ms;-56.47;-22.13 ;Chaves N.B. and Tidon R. (2008), Biogeographical aspects of dro ... ;;;;;;;;;
América do Sul;    caracol/ms; -56.47;-22.13;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    itirapina;-47.48;-22.16;Mateus R.P. et al. (2006), The Drosophila community in xe ... ;;;;;;;;;
América do Sul;    brotas;-47.57;-22.17 ;Pires D.J. and Belo M. (2005), Flies collected in orchards. ... ;;;;;;;;;
América do Sul;    mogi-guacu/sp;-47.12;-22.17;Sene F.M. et al. (1980), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    mogi-guacu/sp;-47.12;-22.17;Sene F.M. et al. (1981), Influence of different ways to ... ;;;;;;;;;
América do Sul;    mogi-guacu/sp;-47.12;-22.17;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    mogi-guacu/sp;-47.12;-22.17;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    santa maria da serra;-48.10;-22.34;Mateus R.P. et al. (2006), The Drosophila community in xe ... ;;;;;;;;;
América do Sul;    barreiro rico;-48.05;-22.41 ;de Medeiros H.F. and Klaczko L.B. (2004), How many species of Drosophila ... ;;;;;;;;;
América do Sul;    cabo frio/rj;-42.02;-22.56;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    itatiba; -46.51;-22.59 ;Mateus R.P. et al. (2006), The Drosophila community in xe ... ;;;;;;;;;
América do Sul;    angra dos reis;-44.17;-22.59;Heed W.B. and Russell J.S. (1971), Phylogeny and Population Struc ... ;;;;;;;;;
América do Sul;    arraial do cabo/rj;-42.01;-22.59;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    cabreuva/sp;-47.10;-23.15;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    itu/sp; -47.18;-23.16;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    cantareira;-46.38;-23.27;Heed W.B. and Russell J.S. (1971), Phylogeny and Population Struc ... ;;;;;;;;;
América do Sul;    jaguari/rs;-54.42;-23.30 ;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    mogi das cruzes;-46.10;-23.30;Heed W.B. and Russell J.S. (1971), Phylogeny and Population Struc ... ;;;;;;;;;
América do Sul;    mogi das cruzes;-46.10;-23.30;Yoon J.S. (1984), Drosophila species stock list ... ;;;;;;;;;
América do Sul;    mogi das cruzes;-46.10;-23.30;Yoon J.S. (1990), Drosophila species stock list ... ;;;;;;;;;
América do Sul;    mogi das cruzes;-46.10;-23.30;Yoon Z. (1996), Stock List. National Drosophil ... ;;;;;;;;;
América do Sul;    azapa/chile;-70.23;-23.37 ;Brncic D. (1962), New Chilean species of the gen ... ;;;;;;;;;
América do Sul;    azapa/chile;-70.23;-23.37 ;Brncic D. (1987), A review of the genus Drosophi ... ;;;;;;;;;
América do Sul;    azapa/chile;-70.23;-23.37 ;Brncic D. and Martinez H. (1990), Lista de ejemplares de Drosoph ... ;;;;;;;;;
América do Sul;    azapa/chile;-70.23;-23.37 ;Heed W.B. and Russell J.S. (1971), Phylogeny and Population Struc ... ;;;;;;;;;
América do Sul;    rio ligeiro/pa;-52.31;-23.37;Sene F.M. et al. (1980), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    rio ligeiro/pa;-52.31;-23.37;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    antofagasta; -70.23;-23.40;Brncic D. (1987), A review of the genus Drosophi ... ;;;;;;;;;
