Região;Local;Longitude;Latitude;Referência;;;;;;;;;
América do Sul;    ocamo;-73;1; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    uraricuara;-66;1; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    serra do navio;-52,05;1; de Toledo Cardoso de Mello J. (1971); Estudo da esterilidade entre d ...;;;;;;;;
América do Sul;    esmeraldas;-79,4;0,56; Acurio A. and Rafael V. (2009); Diversity and geographical dis ...;;;;;;;;
América do Sul;    orellana;-76,05;0,53; Acurio A. and Rafael V. (2009); Diversity and geographical dis ...;;;;;;;;
América do Sul;    ferreira gomez;-51,08;0,52; da Cunha A.B. and Dobzhansky T. (1954); A further study of chromosomal ...;;;;;;;;
América do Sul;    ferreira gomez;-51,08;0,52; da Cunha A.B. et al. (1959); Genetics of natural population ...;;;;;;;;
América do Sul;    guayabero;-70,59;0,08; Ayala F.J. and Tracey M.L. (1973); Enzyme Variability in the Dros ...;;;;;;;;
América do Sul;    guayabero;-70,59;0,08; Ayala F.J. et al. (1971); Polymorphisms in Continental a ...;;;;;;;;
América do Sul;    macapa;-51,04;0,04; Ayala F.J. et al. (1972); Enzyme variability in the Dros ... ;;;;;;;;
América do Sul;macapa;-51,04;0,04; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    guayllabamba;-78,22;0,03; Rafael V. et al. (2000); Ecologia y distribucion del ge ...;;;;;;;;
América do Sul;    foz de caiari;-66;0; da Cunha A.B. and Dobzhansky T. (1954); A further study of chromosomal ...;;;;;;;;
América do Sul;    foz de caiari;-66;0; da Cunha A.B. et al. (1959); Genetics of natural population ...;;;;;;;;
América do Sul;    congacari do tracua;-51;0; de Toledo Cardoso de Mello J. (1971); Estudo da esterilidade entre d ...;;;;;;;;
América do Sul;    ilha marajo;-50;0; Pavan C. (1950); A Variabilidade Genetica e sua ...;;;;;;;;
América do Sul;    marajo;-50;0; da Cunha A.B. and Dobzhansky T. (1954); A further study of chromosomal ...;;;;;;;;
América do Sul;    marajo;-50;0; da Cunha A.B. et al. (1950); Adaptive chromosomal polymorph ...;;;;;;;;
América do Sul;    marajo;-50;0; da Cunha A.B. et al. (1959); Genetics of natural population ...;;;;;;;;
América do Sul;    marajo;-50;0; Dobzhansky T. (1965);" Wild"" and ""Domestic"" Species o ...";;;;;;;;
América do Sul;    marajo;-50;0; Dobzhansky T. et al. (1950); A comparative study of chromos ...;;;;;;;;
América do Sul;    marajo;-50;0; Rizki M.T.M. (1955); Genetic modification of a temp ...;;;;;;;;
América do Sul;    marajo;-50;0; Townsend J.I. (1952); Genetics of marginal populatio ...;;;;;;;;
América do Sul;    el quinche;-78,18;-0,07; Rafael V. et al. (2000); Ecologia y distribucion del ge ...;;;;;;;;
América do Sul;    uaupes;-67,05;-0,07; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
