region,site,longitude,latitude,ref
North America,monroe/fl,-81.17,28.5, Patterson J.T. and Wagner R.P. (1943)
North America,daytona/fl,-81.01,29.11, Sturtevant A.H. (1921)
North America,lake mckethan/fl,-81,27, Patterson J.T. and Wagner R.P. (1943)
North America,mayakka,-81,27, Heed W.B. and Russell J.S. (1971)
North America,royal palm park/fl,-81,27, Patterson J.T. and Wagner R.P. (1943)
North America,lake okeechobee/fl,-80.5,27.14, Patterson J.T. and Wagner R.P. (1943)
North America,lake okeechobee/fl,-80.5,27.14, Wharton L.T. (1943)
North America,lake okeechobee/fl,-80.5,27.14, Wheeler M.R. (1949)
North America,pahokee/fl,-80.4,26.49, Patterson J.T. and Wagner R.P. (1943)
North America,palatka/fl,-80.4,29.38, Patterson J.T. and Wagner R.P. (1943)
North America,coral gables/fl,-80.16,25.42, Ehrman L. and Miller T. (1982)
North America,miami,-80.15,25.45, Sturtevant A.H. (1916)
North America,miami/fl,-80.15,25.45, Patterson J.T. and Wagner R.P. (1943)
North America,miami/fl,-80.15,25.45, Stalker H.D. (1953)
North America,miami/fl,-80.15,25.45, Sturtevant A.H. (1921)
North America,broward,-80.1,25.05, Marron M.T. et al. (2003)
North America,fort lauderdale/fl,-80.08,26.08, Sturtevant A.H. (1921)
North America,pompano/fl,-80.07,26.14, Hunter A.S. (1981)
Central America,santa ana/es, -89.31,14.00 , Clayton F.E. and Wasserman M. (1957)
Central America,san salvador/es, -89.10,13.40 , Clayton F.E. and Wasserman M. (1957)
Central America,el salvador, -88.55,14.45 , Heed W.B. (1956)
Central America,el salvador, -88.55,14.45 , Heed W.B. (1957)
Central America,san vicente/es, -88.42,13.38 , Clayton F.E. and Wasserman M. (1957)
Central America,port limon/cr, -85.00,10.00 , Sturtevant A.H. (1916)
Central America,port limon/cr, -85.00,10.00 , Sturtevant A.H. (1921)
Central America,santa maria de ostuma, -85.00,12.00 , Clayton F.E. and Wasserman M. (1957)
Central America,palmar del norte, -84.08,10.00 , Heed W.B. and Russell J.S. (1971)
Central America,san jose/cr, -84.04,9.59 , Sturtevant A.H. (1916)
Central America,san jose/cr, -84.04,9.59 , Sturtevant A.H. (1921)
Central America,suiza de turrialba, -83.40,9.56 , Duda O. (1925)
