species,region,site,longitude,latitude,ref
simulans,South America,colombia,-75,4, Biemont C. et al. (2003)
simulans,Africa,brazza-loua,15,4, Lachaise D. et al. (1986)
simulans,Africa,yaounde,11.31,3.51, Baba-Aissa F. et al. (1988)
simulans,Africa,nkolbisson,10,3, Ashburner M. and Leumeunier F. (1976)
simulans,Africa,lokichar,35.4,2.23, Simmons G.M. et al. (1994)
simulans,Africa,mount elgon,34.35,1.3, Baba-Aissa F. et al. (1988)
simulans,Africa,belinga,13.12,1.09, Ashburner M. and Leumeunier F. (1976)
simulans,Africa,kitale,35.01,1.01, Takada H. et al. (1990)
simulans,Africa,uganda,32,1, Buruga J.H. and Olembo R.J. (1971)
simulans,South America,orellana,-76.05,0.53, Acurio A. and Rafael V. (2009)
simulans,South America,atacames,-79.48,0.51, Irvin S.D. et al. (1998)
simulans,Africa,kibale,35.06,0.5, Nolte V. and Schlotterer C. (2008)
simulans,Africa,makokou,12.47,0.38, Ashburner M. and Leumeunier F. (1976)
simulans,Africa,eldoret,35.17,0.31, Takada H. et al. (1990)
simulans,South America,imbabura,-78.3,0.3, Rafael V. and Vela D. (2000)
simulans,Africa,isiolo,37.36,0.2, Takada H. et al. (1990)
simulans,Africa,sao tome,6.43,0.19, Debat V. et al. (2003)
simulans,Africa,kampala,32.35,0.19, Ashburner M. and Leumeunier F. (1976)
simulans,Africa,kakamega,34.53,0.16, Andersson Escher S. et al. (1997)
simulans,Africa,meru,38.1,0.1, Biemont C. et al. (2003)
simulans,South America,guayllabamba,-78.22,0.03, Rafael V. (2007)
simulans,Africa,nanyuki,37.05,0.01, Ballard J.W.O. (2000)
simulans,Africa,ipassa,10,0, David J. (1971)
simulans,Africa,loua,15,0, Baba-Aissa F. et al. (1988)
simulans,Africa,kakunga,35,0, Takada H. et al. (1990)
simulans,Africa,makutaro,37.55,0, Simmons G.M. et al. (1994)
simulans,Africa,impala,40,0, Hey J. and Kliman R.M. (1993)
simulans,South America,el quinche,-78.18,-0.07, Rafael V. et al. (2000)
simulans,Africa,kisumu,34.47,-0.08, Andersson Escher S. et al. (1997)
simulans,South America,ilalo,-78.28,-0.15, Rafael V. (2007)
simulans,Africa,congo,15.5,-0.15, Kopp A. et al. (2005)
simulans,Africa,molo,35.45,-0.15, Andersson Escher S. et al. (1997)
simulans,South America,otongachi,-78.59,-0.19, Rafael V. (2007)
simulans,South America,sangolqui,-78.3,-0.19, Ballard J.W.O. (2004)
simulans,South America,tumbaco,-78.57,-0.21, Rafael V. (2007)
simulans,South America,ibarra,-78.1,-0.21, Rafael V. (2007)
simulans,Africa,kericho,35.19,-0.22, Andersson Escher S. et al. (1997)
simulans,South America,baltra,-90.15,-0.27, Linsley E.G. and Usinger R.L. (1966)
simulans,South America,pasachoa,-78.29,-0.28, Vela D. and Rafael V. (2003)
